Start processing data...
Data read
here
and here
brief : 55
briefly : 118
brienne : 416
brienne's : 21
brigands : 8
bright : 50
brightest : 41
brightfire : 8
brightflame : 21
brightsmile : 8
brightwater : 80
brilliance : 8
brilliant : 17
brindlewood : 7
bring : 469
bringing : 49
brings : 114
brink : 2
briny : 36
brisk : 1
brittle : 5
broad : 80
broadest : 18
brogg : 2
broke : 139
broken : 283
broker : 17
bron : 1
bronn : 171
bronn's : 3
bronze : 32
bronzed : 15
bronzegate : 1
brooch : 11
brood : 34
brooding : 40
broods : 8
broom : 25
broome : 68
brothel : 44
brothels : 61
brother : 3571
brother's : 124
brotherhood : 461
brotherhood's : 13
brothers : 855
brought : 562
brow : 21
browed : 3
brown : 182
brownhollow : 14
brows : 8
bruise : 1
bruised : 15
brune : 74
brusco : 6
brusco's : 1
brush : 11
brushed : 1
brusque : 20
brutal : 67
brutality : 4
brutally : 31
brute : 1
brutish : 1
bryan : 6
bryce : 11
bryce's : 3
bryen : 14
bryen's : 1
brynden : 489
brynden's : 33
brynden’s : 1
bucket : 5
buckets : 18
buckle : 8
buckler : 1
buckles : 8
buckwell's : 8
buffer : 28
buford : 5
build : 146
builder : 6
builders : 10
building : 70
buildings : 99
built : 231
bulk : 8
bull : 21
bull's : 9
bullied : 18
bullies : 1
bully : 39
bulwer : 42
bump : 5
bun : 10
burgeoning : 8
burial : 16
buried : 60
burley : 27
burlier : 8
burly : 1
burn : 121
burned : 307
burner : 2
burner's : 1
burning : 140
burnished : 15
burns : 113
burnt : 2
burst : 21
burton : 8
burton's : 6
bury : 10
burying : 2
bush : 3
bushy : 26
busied : 9
business : 1
busy : 10
but : 4452
butcher : 31
butcher's : 20
butchered : 2
butchery : 21
butterbumps : 5
buttercakes : 16
butterwell : 97
butterwell's : 8
butterwelll's : 1
butthole : 3
butts : 1
buu : 2
buxom : 24
buy : 25
buying : 28
buys : 9
by : 10224
byam : 6
byan : 3
bypassed : 21
byrch : 26
byren : 2
byron : 1
bystanders : 8
bywater : 29
cache : 2
caches : 16
cadwyl : 3
cadwyn : 3
cage : 67
caged : 19
cailin : 57
cairn : 8
cairns : 8
calculating : 8
calculation : 1
caleotte : 4
call : 231
calla : 21
called : 903
calling : 42
calls : 119
callused : 8
calm : 16
calmly : 8
calon : 5
calon's : 1
camarron : 29
came : 353
camp : 114
campaign : 37
campaigning : 8
camped : 9
camps : 79
can : 724
canal : 232
canals : 125
cancel : 18
canceled : 28
cancels : 1
candidate : 21
candidates : 84
candle : 9
cane : 28
canker : 1
cannibal : 16
cannibalism : 17
cannot : 149
canon : 187
canonical : 42
canopy : 1
capable : 67
cape : 13
capital : 319
capitulation : 8
capped : 18
capricious : 8
captain : 213
captain's : 9
captained : 29
captains : 135
captivated : 6
captive : 322
captives : 79
